tag,dataset,iteration,au,ag,peg,ctab,cit,pvp,ascorb,teos,uv1,uv2,saxs1,saxs2
IHS_2_cell,IHS,,3.368641777738425,0.0,2.8457967869037497,4.031889575653413,4.408914496109488,1.302387230308814,4.04237013328611,0.0,0.4943820224719073,4.0,0.5928236056586964,-1.4284065452301713
IHS_5_cell,IHS,,5.034545856063012,0.0,3.58819935171668,2.90279270651704,0.4866987003616943,1.94630835806596,6.041455027275615,0.0,0.5384615384615385,4.0,0.2695866865311137,-2.625340554569668
IHS_7_cell,IHS,,7.997356978802426,0.0,0.756905501090088,0.4341926138779616,0.7091001167365283,0.5056164149300857,9.59682837456291,0.0,0.7991156032849038,1.1935092317378395,-0.0916922233464823,-3.217047110106691
IHS_9_cell,IHS,,7.761730759241472,0.0,1.4615935302078955,0.5646366837326021,0.4766307236955143,0.4213313920327473,9.314076911089767,0.0,0.801083591331267,1.47930314750602,0.0527954318027844,-2.826236470726404
IHS_10_cell,IHS,,3.609143531966552,0.0,2.2883348235850964,1.3681122585302024,3.154056974808387,5.249380172749901,4.330972238359862,0.0,0.6356301392241988,2.716157205239988,0.4578978293768656,-2.037277323921613
IHS_11_cell,IHS,,4.223994231687128,0.0,2.052381562076201,1.28254546764191,3.19933736626076,4.172948294309447,5.0687930780245525,0.0,0.6267029972752058,3.0,0.2841582426413191,-2.405359647018738
IHS_12_cell,IHS,,6.996347000090635,0.0,0.1722004107519453,0.3446837040716849,1.6762162329632413,2.4149362520137307,8.395616400108763,0.0,0.7264687302590035,2.0239263803680885,-0.0560230331032943,-3.547695461324115
IHS_13_cell,IHS,,6.470931795395873,0.0,0.7818459756388904,1.985982127343946,1.939112250834196,1.0570096963120472,7.765118154475047,0.0,0.6927710843373506,1.888888888888889,-0.0583654734606735,-4.002035042759963
IHS_14_cell,IHS,,4.752971666610295,0.0,1.0323921659807107,2.221614574579416,3.1750452275897008,3.114410365307525,5.703565999932353,0.0,0.653821857233103,3.279907975460111,0.3192259271364799,-2.5079292554487105
IHS_15_cell,IHS,,5.975096996701593,0.0,2.3912640084715333,3.1859444126511187,1.1669477766727012,0.1106304094611441,7.170116396041911,0.0,0.6343077771649213,3.5000000000000004,0.210220978634817,-2.8755287311007534
